ID,Unit,Altname,Texts (lookup),Persons (lookup),Places (lookup)
ETH1001Aabbo,Aabbo,,,,
ETH1002Aadaa,Aadaa,,,,
ETH1003Aari,Aari,,,,
ETH1004Ababda,Abâbda,,,,
ETH1005Abado,Abado,,,,
ETH1006Abadra,Abädray,,,,
ETH1007Abake,Abäke,,,,
ETH1008Abati,Abati,,,,
ETH1009AbbaGo,Abba Gošanaʾa,,,,
ETH1010hamta,Ḫamtaŋa,,,,
ETH1011Abdall,ʿAbdallāb,,,,
ETH1012Abbicu,Abbičuu,"Abbiichuu, Abǝčču",,,
ETH1013Abdarr,ʿAbdarrasūl,,,,
ETH1014Abgaal,Abgaal,,,,
ETH1015Able,ʿAblé,,,,
ETH1016Aboote,Abootee,,,,
ETH1017Aborat,Aborat,,,,
ETH1018Abosar,Abosare,,,,
ETH1019Abusam,Abūsá-mára,,,,
ETH1020AdAmma,ʿAd Ammar,,,,
ETH1021AdAske,ʿAd ʿAsker,Askär,,,
ETH1022AdAyla,ʿAd Aylay,,,,
ETH1023AdAzza,ʿAd Azzaž,,,,
ETH1024AdBaad,ʿAd Baʿadinge,,,,
ETH1025AdBula,ʿAd Bula,,,,
ETH1026AdBusn,ʿAd Bušnaq,,,,
ETH1027AdCafa,ʿAd Ḉafa,,,,
ETH1028AdDarq,ʿAd Därqi,Dǝrqi,,,
ETH1029AdDagg,ʿAd Däggiyat,Däggiyazmati,,,
ETH1030AdDoba,ʿAd Dobaʿat,,,,
ETH1031AdDobl,ʿAd Dobloy,,,,
ETH1032AdElos,ʿAd Elos,,,,
ETH1033AdFaza,ʿAd Fäza,,,,
ETH1034AdGabr,ʿAd Gabres,,,,
ETH1035AdGabs,ʿAd Gabša,,,,
ETH1036Adha,ʿAd Ḥā,,,,
ETH1037AdHaba,ʿAd Habay,,,,
ETH1038AdHafa,ʿAd Hafärom,,,,
ETH1039Adhama,ʿAd Ḥamad Baḥīt,Baḵīt,,,
ETH1040Adhasa,ʿAd Ḥasano,,,,
ETH1041Adhas,ʿAd Ḥas,,,,
ETH1042Adhebt,ʿAd Ḥǝbtes,,,,
ETH1043AdHisa,ʿAd Hišal,,,,
ETH1044AdKant,ʿAd Ḵäntiba Sǝḥay,,,,
ETH1045AdKant,ʿAd Ḵäntiba Zärʾay,,,,
ETH1046AdKedr,ʿAd Kedraš,,,,
ETH1047AdKefl,ʿAd Kǝflom,,,,
ETH1048AdLawa,ʿAd Lawaǧ,,,,
ETH1049AdMaal,ʿAd Mäʿallǝm,ʿAd Muʿallim,,,
ETH1050AdMaha,ʿAd Mähari,,,,
ETH1051AdMeqo,ʿAd Mǝqom,,,,
ETH1052AdMual,ʿAd Muʿallim s. ʿAd Mäʿallǝm,,,,
ETH1053AdNaib,ʿAd Nāʾib,,,,
ETH1054AdSama,ʿAd Samara Ḉon,,,,
ETH1055Adsawa,ʿAd Ṣäway,,,,
ETH1056AdSawr,ʿAd Sawra,Tawra,,,
ETH1057Adsek,ʿAd Šek,ʿAd Šayḫ Ad Shaykh,,,
ETH1058Adsuma,ʿAd Šuma,,,,
ETH1059AdTakl,ʿAd Täkles,ʿAd Täkle,,,
ETH1060AdTema,ʿAd Tǝmaryam,,,,
ETH1061AdaBar,Adʾa Barga,,,,
ETH1062Adaa,Adaʾa,,,,
ETH1063Adaila,Aḏaʿila,,,,
ETH1064Adal,Adal,,,,
ETH1065Adali,Adʿáli,ʿAd ʿAlī Adali,,,
ETH1066Adare,Adäre,East Gurage,,,
ETH1067Addaye,Addaye,,,,
ETH1068Addee,Addee,,,,
ETH1069Adeya,Adeya,,,,
ETH1070Adkama,Adkämä Mǝlgaʾ,Mälgaʾ,,,
ETH1071Adohya,ʿAdohyammára,,,,
ETH1072Adola,ʿAdola,,,,
ETH1073Afifi,ʿAfīfī,,,,
ETH1074Afan,Afan,,,,
ETH1075Afar,ʿAfar,,,,
ETH1076Afara,Afʿará,,,,
ETH1077Aflend,Aflenda,Aflända,,,
ETH1078Afraha,Afrahat ʿAre,,,,
ETH1079AfranQ,Afran Qalluu,"Afran Qalloo, Afran Qallu, Qottuu",,,
ETH1080Aga,Aga,,,,
ETH1081Agaamo,Aǧaamo,,,,
ETH1082Agatho,Agathous,,,,
ETH1083Agaw,Agäw,,,,
ETH1084Agazi,Agʿazi,,,,
ETH1085Aggabe,Aggabe,,,,
ETH1086Agginn,ʿAggínni,,,,
ETH1087Agoora,Agoora,,,,
ETH1088Aguraa,Aǧuraan,Aǧūrān,,,
ETH1089Agweza,ʾAgwēzāt,,,,
ETH1090Ahabis,Aḥābīš,,,,
ETH1091Ahbusa,Aḥbūšan,,,,
ETH1092Allaab,Allaaba,"Alaaba, Halaba",,,
ETH1093Akisso,Akiššo,,,,
ETH1094Akk,ʿAkk,,,,
ETH1095Akkacu,Akkačuu,,,,
ETH1096Akkadi,Akkadian,,,,
ETH1097Akkicc,Akkičču,,,,
ETH1098Aklil,Aklil,,,,
ETH1099Alaa,Alaa,Ala,,,
ETH1100Alabdu,Alabdu,,,,
ETH1101Alades,Alades ʿAre,,,,
ETH1102Alango,Alango,,,,
ETH1103Alatta,Alatta,,,,
ETH1104AletAr,Alet ʿAre,,,,
ETH1105Aletaa,Aletaa,,,,
ETH1106Alga,Alga,,,,
ETH1107Algaan,Algaana,,,,
ETH1108Algade,Algäden,,,,
ETH1109AliGer,"ʿAli Geri, Som. lineage",,,,
ETH1110AliGad,"ʿAlī Gaduun, Som. lineage",,,,
ETH1111AliGoh,ʿAli Góhli,,,,
ETH1112Aliidi,Aliidi Garbiččo,,,,
ETH1113Ammayy,Ammayyaa,,,,
ETH1114Anwaa,Añwaa,"Anywa, Anuak, Yambo",,,
ETH1115Alle,Alle,,,,
ETH1116Almada,Almäda,,,,
ETH1117Alo,Alo,,,,
ETH1118Alqa,Alqā,,,,
ETH1119Amado,Amado,,,,
ETH1120Amaaro,"Amaaro, descent groups",,,,
ETH1121AmaraG,"Amara, Gamo clan",,,,
ETH1122Amarar,Amarʾar,,,,
ETH1123Amaroc,Amaroḉi,,,,
ETH1124Amawut,Amawute,,,,
ETH1125Amaya,Amaya,,,,
ETH1126Amhara,Amhara,,,,
ETH1127ana,Ánʿa,,,,
ETH1128Anduro,Anduro,,,,
ETH1129Anfill,Anfillo,"Amfīlō, Emfīlō, Afillo",,,
ETH1130Ankala,Ankālá,Ankáli,,,
ETH1131Ankasa,Ankäša,Hankäša,,,
ETH1132Anniyy,Anniyya,"Annia, Annya",,,
ETH1133Aqabi,ʿAqabī,,,,
ETH1134Arab,Arab,,,,
ETH1135Arabta,ʿArábta,,,,
ETH1136Arabit,Arabita,,,,
ETH1137Aran,Aräñ,,,,
ETH1138Arap,Arap,,,,
ETH1139Aratig,Aratige,,,,
ETH1140Arato,Arato,,,,
ETH1141ArbaGu,Arba Gugu,Arba Gudu,,,
ETH1142Arbaat,Arbaʿatä Zufan,,,,
ETH1143Arbahi,Arbāhintó,,,,
ETH1144Arbore,Arbore,"Hor, Hoor, Marle",,,
ETH1145Area,Area,,,,
ETH1146ArfanN,Arfan Nagadota,,,,
ETH1147ArfanO,Arfan Oromota,,,,
ETH1148Argann,Argänne,,,,
ETH1149Argobb,Argobba,Argwabba,,,
ETH1150Askakm,Askakmáli-k Mōdaytó,,,,
ETH1151Arguma,Arguman,,,,
ETH1152Arloc,Arloč,,,,
ETH1153Arrelo,Arreločč,,,,
ETH1154Arsi,Arsi,"Arssi, Arussi, Waraneš, Warantiḉa, Wäräntiša",,,
ETH1155Asaara,Asaarado,,,,
ETH1156Asahya,ʿAsahyammára,,,,
ETH1157Asfada,Asfäda,,,,
ETH1158Asgady,Ašgadye,,,,
ETH1159Asman,Ašmän,,,,
ETH1160Asraho,Asrahoyt Wäläne,,,,
ETH1161Assali,Assalisan,,,,
ETH1162Assaka,Assakare,,,,
ETH1163Atalmo,Atalmo,,,,
ETH1164Atman,Atmān,,,,
ETH1165Atuot,Atuot,,,,
ETH1166Aua,Aua,,,,
ETH1167Awazim,ʿAwāzim,,,,
ETH1168Awdal,Awdal,,,,
ETH1169Awi,Awi,"Awiya, Awŋi",,,
ETH1170AwliGú,Awli-Gúra,,,,
ETH1171awsa,Áwsa,,,,
ETH1172Aygado,Aygado,,,,
ETH1173Ayhudr,"Ayhud, rel.",,,,
ETH1174Aymala,Aymalalla,,,,
ETH1175Ayr,ʿAyr,,,,
ETH1176Ayrola,Ayrolassó,,,,
ETH1177Aysti,Aysti,,,,
ETH1178Azar,Azär,,,,
ETH1179Azd,Azd,,,,
ETH1180Baadoo,Baadoogo,,,,
ETH1181Baadu,Baʿádu,,,,
ETH1182Baale,Baale,Balethi Kačipo Suri Zilmamo,,,
ETH1183Baamba,Baambala,,,,
ETH1184Bambi,Bambi,,,,
ETH1185Baaren,Baarentuu,"Baraytuma, Bareituma, Barento, Barentu, Barentuma, Bareytuma",,,
ETH1186Bargad,Bargädda,,,,
ETH1187Bacoo,Bačoo,"Bačo, Bača",,,
ETH1188Balta,Balta,,,,
ETH1189Balti,Balti,,,,
ETH1190Badoyt,Badoytá-m mêlá,Badoytammēla,,,
ETH1191Bajuni,Bajuni,,,,
ETH1192Bakarr,Bakarro,,,,
ETH1193Balaet,"Bala, ethn",,,,
ETH1194Balaw,Balaw,Bäläw,,,
ETH1195Balliy,Balliyūn,,,,
ETH1196Band,Band,Mǝnǧa,,,
ETH1197BanilH,Banī l-Hamwīya,Banū l-Ham[u]wīya,,,
ETH1198BaniRa,Banī Rašīd,,,,
ETH1199Banna,Banna,,,,
ETH1200Banqaa,Banqaano,,,,
ETH1201Bantu,Bantu,,,,
ETH1202BanuAb,"Banū ʿAbbās, desc. group",,,,
ETH1203BanuAf,Banū ʿAffān,,,,
ETH1204BanuFa,"Banū Faḍlallāh, desc. group",,,,
ETH1205Banuha,"Banū Ḫaldūn, desc. group",,,,
ETH1206Banuha,Banū Ḥāriṯ,,,,
ETH1207BanuHa,Banū Hāšim,,,,
ETH1208BanulA,Banū l-Arfida,,,,
ETH1209BanulY,Banū l-Yahūdiya,,,,
ETH1210BanuMa,"Banū Maḫzūm, desc. group",,,,
ETH1211BanuNa,Banū Naǧāḥ,,,,
ETH1212BanuNu,Banū Nuwāsim s. Ḏū-Nuʾāsim,,,,
ETH1213BanuSa,"Banū Sadād, desc. group",,,,
ETH1214BanuUm,Banū ʿUmayya,Banī ʿUmayya Banū l-Ḥumāya Banū ʿUmayya b. ʿAbdaššams,,,
ETH1215Banyan,"Banyan, desc. group",,,,
ETH1216Baqwel,Bäqwǝl Zär,,,,
ETH1217Barado,Baradotta,Baraddota,,,
ETH1218Bartum,Bartumaa,Bartuuma,,,
ETH1219baryas,"barya, soc. group",,,,
ETH1220Barzar,Barzara,,,,
ETH1221Basada,Bäšada,,,,
ETH1222Basoma,Basōmá,,,,
ETH1223Basket,Basketo,"Baskatto, Basketa, Basketto",,,
ETH1224Bayso,Bayso,,,,
ETH1225Bayɖio,Bayɖīʿó,,,,
ETH1226Bayy,Bayy,,,,
ETH1227Bega,Beǧa,Beɖauye,,,
ETH1228Begga,Begga,,,,
ETH1229Bellas,Bellasowa,Bellesowa,,,
ETH1230Bellil,"Bellila, dial. Twampa",,,,
ETH1231Benc,Benḉ,"Bencho, Gimira",,,
ETH1232BeniAm,"Beni ʿAmǝr, dial. Beǧa",,,,
ETH1233Beraba,Beräbabo,,,,
ETH1234BerbBu,Berb-Burun,,,,
ETH1235Berber,Berber,,,,
ETH1236Berber,"Berbera, dial. Somali",,,,
ETH1237Bersub,Bersub,,,,
ETH1238Berta,Berta,"Bärta, Bertha, Beni Šangul, Bela Šangul",,,
ETH1239Berter,Berteri,Bertiri,,,
ETH1240Besatm,"Bešaṭmir, tribe",,,,
ETH1241BetAbr,Bet Abrǝhe,,,,
ETH1242BetAlu,Bet Alula,,,,
ETH1243BetAnk,Bet Ankala,,,,
ETH1244BetAqa,Bet Aayl,Bet Uayl,,,
ETH1245BetAsg,Bet Asgäde,,,,
ETH1246BetAsk,Bet Askär,,,,
ETH1247BetDan,Bet Danyā,,,,
ETH1248BetDim,Bet Dimbago,,,,
ETH1249Betesh,Bet Ǝšḥaqan,Bet Išḥaan Bet Šäḥaqan,,,
ETH1250BetGar,Bet Gärgǝš,"Bet Giyorgis, waʿǝla",,,
ETH1251Betguk,Bet Ǧuk,"Bet Ǧok, Bet Ǧoq",,,
ETH1252Bethal,Bet Ḫalīfa,Beyt Ḫalifa Bet Kalīfa,,,
ETH1253Bethas,Bet Ḥasan,Bayt Ḥasan,,,
ETH1254BetKah,Bet Kaḥya,,,,
ETH1255BetMaa,Bet Mäʿala,"Bayt Maʿla, Bet Mala, Beyt Maʿāla",,,
ETH1256BetMus,Bet Muše,Bet Mosa Musa ʿAre,,,
ETH1257BetQad,Bet Qadi,,,,
ETH1258BetRaq,Bet Raqi,,,,
ETH1259BetSar,Bet Saraḥ,Sara ʿAre,,,
ETH1260BetSar,Bet Sardal,,,,
ETH1261Betsaw,Bet Šawiš,,,,
ETH1262BetSay,Bet Sayyid Ḥamedu,,,,
ETH1263Betsek,Bet Šek Maḥmūd,,,,
ETH1264BetSul,Bet Sulēman,,,,
ETH1265BetTaa,Bēt Taʿarrus Abādir,,,,
ETH1266Bettaq,Bet Ṭaqwe,Bet Ṭawqe,,,
ETH1267BetTar,Bet Tärqe,Bet Gäbrä Tärqe,,,
ETH1268BetTaw,Bet Tawkal,,,,
ETH1269BetUma,Bet ʿUmar ʿAlī,,,,
ETH1270BetUtm,Bet ʿUṯmān,Bayt ʿUṯmān Bet Osman,,,
ETH1271BetYah,Bet Yaḥyā,,,,
ETH1272BetaAb,Betä Abrǝham,"balä ǝǧǧ,moräte/soc",,,
ETH1273Begi,Begi,,,,
ETH1274Betaes,Betä Ǝsraʾel,Fälaša,,,
ETH1275Bidiru,Bidiruu,,,,
ETH1276Bilin,Bilin,"Bilén, Bilina, Blin, Bogos",,,
ETH1277Billi,Billī,,,,
ETH1278Binna,Binna,Binnas,,,
ETH1279Birmag,Birmaǧi luuba,,,,
ETH1280Bisari,Bišārīn,Bisharyyin Šantirāb,,,
ETH1281BisiAn,Bisi Anaaph,,,,
ETH1282BisiAn,Bisi Aniōskal,,,,
ETH1283BisiDi,Bisi Dimele,,,,
ETH1284Bitaam,Bitaama,,,,
ETH1285Bitayt,Bitʿáytu,,,,
ETH1286Bitolo,Bitolo,,,,
ETH1287Biyama,Biyamaal,,,,
ETH1288BiyoAa,"Biyo, Aari dial.",,,,
ETH1289Blemmy,"Blemmyes, ethn",,,,
ETH1290Bodidi,"Bodi, dial.",,,,
ETH1291Bogudo,Bogudo,,,,
ETH1292Bohair,"Bohairic, dial. Coptic",,,,
ETH1293BolliB,Bollí Buɖáa,,,,
ETH1294BomaMu,Boma-Murle,,,,
ETH1295Bonaca,"Bōna, caste",,,,
ETH1296Boni,Boni,Aweera,,,
ETH1297Boni,Boni,,,,
ETH1298Bonke,Bonke,,,,
ETH1299Booran,Boorana,,,,
ETH1300BôrkeW,Bôr kē Wandābá,,,,
ETH1301Bor,Bor,,,,
ETH1302Borali,Borali,,,,
ETH1303Boro,Boro,,,,
ETH1304Borodd,Borodda,,,,
ETH1305Bosaki,"Boša, kingdom",,,,
ETH1306Botor,Botor,,,,
ETH1307Bougai,Bougaites,,,,
ETH1308Boz,Boz,,,,
ETH1309Brahma,"Brahmans, caste",,,,
ETH1310Buda,Buda,,,,
ETH1311Buknay,Buknáyte ʿÁre,"Buknayto, Buḵnäyto, Buknayto Ari, Bakunayti",,,
ETH1312BurEal,Bur Eali,,,,
ETH1313Burgi,Burǧi,,,,
ETH1314Burray,Burrayyuu,,,,
ETH1315Bursúg,Bursúg,,,,
ETH1316Burun,Burun,,,,
ETH1317Busa,Busa,,,,
ETH1318Busaso,Bušašo,"Busase, Busasi, soc. group",,,
ETH1319Busse,Bušše,Buše,,,
ETH1320Buunno,Buunnoo,,,,
ETH1321Caboo,Ḉaboo,Caboo Ḉäbo,,,
ETH1322caha,Čaha,Čäha,,,
ETH1323cai,Čai,,,,
ETH1324calba,Čalba,,,,
ETH1325cano,Čano,,,,
ETH1326Caqata,Ḉaqäta,,,,
ETH1327Cara,Ḉara,"Ḉaraṣa, Tsara",,,
ETH1328Care,Ḉare,,,,
ETH1329Cella,Ḉella,Challaa,,,
ETH1330Cento,Ḉento,,,,
ETH1331Cillas,Ḉillaše,,,,
ETH1332Cinasa,Ḉinaśa,Ḉinaśaša,,,
ETH1333Circas,Circassians,,,,
ETH1334cirim,Čirim,,,,
ETH1335cirra,Čirra,,,,
ETH1336Coptic,Coptic,,,,
ETH1337Cora,Ḉora,,,,
ETH1338Daacci,Daaččii,,,,
ETH1339Daarim,Daarimuu,,,,
ETH1340Daaroo,Daarood,,,,
ETH1341Daasan,Ðáasanač,Ðáasänäč Däsänäč Gäläb Reshiat Šangílla,,,
ETH1342Dabarr,Dabarre,,,,
ETH1343Dace,Daḉe,"Dac’e, Dache, Dace, Daḉeʦo, Gerese, Zegeʦo",,,
ETH1344Daci,Daḉi,,,,
ETH1345dhadha,Ḍaḍalle,,,,
ETH1346Dafa,Dafa,,,,
ETH1347Dafina,Dafina,,,,
ETH1348Daga,Daga,,,,
ETH1349Dagga,Dagga,,,,
ETH1350Dahalo,Dahalo,,,,
ETH1351Dahimm,Dâhí-m mêlá,Dāhímmēlá,,,
ETH1352Dahrum,Daḥrumá,,,,
ETH1353Dalata,Dalata,,,,
ETH1354Dalo,Dalo,,,,
ETH1355Dalool,Dalool,,,,
ETH1356Damann,"Damanna, soc.gr.",,,,
ETH1357Dagood,Dagoodiyo,"Digodia, Digoodiya",,,
ETH1358Dambo,Dambo,,,,
ETH1359Damu,Damu,,,,
ETH1360Dangar,Dangar,,,,
ETH1361Dankal,Dankáli,,,,
ETH1362Daqdaq,Daqdaqi,,,,
ETH1363DaqqiA,Däqqi ʿAd Mǝqom,,,,
ETH1364DaqqiA,Däqqi ʿAmdu,,,,
ETH1365DaqqiG,Däqqi Gäbre,,,,
ETH1366DaqqiG,Däqqi Guzay,,,,
ETH1367DaqqiM,Däqqi Minab,,,,
ETH1368Daqqis,DäqqiŠahay,Däqqi Ḍäḥay,,,
ETH1369DaqqiT,"Däqqi Täsfa, reg.",,,,
ETH1370DaqqiT,Däqqi Täššǝm,"Täššim, reg.",,,
ETH1371Dariit,Dariita,,,,
ETH1372Darabe,Däräbe,,,,
ETH1373Darand,Darandolla,,,,
ETH1374Darass,Darašša,Därašā,,,
ETH1375Dardor,Dardōrá,,,,
ETH1376Darsan,Darsänäy,,,,
ETH1377Dasamo,Ðasamó,,,,
ETH1378Datahi,Datá Ḥíggi,,,,
ETH1379DataUd,Datá ʿUdúm,,,,
ETH1380Datoog,Datooga,,,,
ETH1381Dawe,Däwe,Dawe,,,
ETH1382Dawro,Dawro,"Kullo, Wogagoda",,,
ETH1383Dawudd,Dawuddó,,,,
ETH1384Dawuts,Dawut Šuma,,,,
ETH1385Debina,Debina,,,,
ETH1386Debne,Debné,,,,
ETH1387DebneA,Debné Abrāhintó,,,,
ETH1388DebneL,Debné Loʿoytātí,,,,
ETH1389Debneh,Debné Ḥarká-m mēlá,,,,
ETH1390Debnek,Debnek Wēʿima,,,,
ETH1391Debose,Debose-Gawwada,,,,
ETH1392Demoti,Demotic,,,,
ETH1393Den,Dǝn,,,,
