ID,Title 1,Title 2,Author,Author ID,MSS related (lookup)
LIT1001Homili,15 Homilies on the Song of Songs,,,,
LIT1002AbbaEl,Abba Elyas,,,,
LIT1003Abbaga,Abba Ǧale,,Kǝfle Wäldä Ṣadǝq,,
LIT1004AbbaNa,Abba Näfso,,Bǝrhanu Zäryǝhun,,
LIT1005AbbaTa,Abba Taṭäq Kasa:Yäqwaraw anbäsa,,Gärima Taffärä,,
LIT1006Abbate,Abbatǝnna lǝǧǧočč,,Täsfayä Gässäsä,,
LIT1007Abdann,ʿAbdannāṣir wa-ṯ-ṯawra al-Ifrīqīya,,Muḥammad Muḥammad Fāʾiq,,
LIT1008Abiyyw,ʿAbiyy wǝʾǝtu ǝgziʾabǝḥer,,,,
LIT1009Abranz,Abrän zǝmm ǝnnǝbäl,,Ṣäggaye Gäbrä Mädḫǝn,,
LIT1010Abuqer,"Abuqer,Yoḥannǝs and the three virgins",,,,
LIT1011Abusak,Abušakǝr,,,,
LIT1012ActaPi,Acta Pilati,,,,
LIT1013ActaSa,Acta Salvatoris,,,,
LIT1014Actsof,Acts of Matthew,,,,
LIT1015Actsof,Acts of Matthias and Andrew,,,,
LIT1016Actsof,Acts of Paul,,,,
LIT1017Actsof,Acts of Peter,,,,
LIT1018Actsof,Acts of Philip in Greece,,,,
LIT1019Actsof,Acts of the Apostles,,,,
LIT1020Actsof,Acts of Thomas,,,,
LIT1021Adafre,Adäfrǝs,,Daññaččäw Wärqu,,
LIT1022Addisa,Addis ʿaläm,,Ḫǝruy Wäldä Śǝllase,,
LIT1023Addisy,ʿAddis yamarǝñña mäzgäbäqalat,,Dästa Täklä Wäld,,
LIT1024adDuaw,ad-Duʿāʾ wa-yalīhi:al-ʿIlāǧ bir-ruqya min al-kitāb was-sunna,,,,
LIT1025adDusq,ad-Dusqūlīyya,ad-Dasqūlīyya,,,
LIT1026Adgena,Adgǝna Tägäläba,Sǝrʿat Adgǝna Tägäläba,,,
LIT1027Afarya,Afär yanäśśa śǝga,,Säyfu Mättafäriya,,
LIT1028Affaga,Affaǧäšǝññ,,Yoftahe Nǝguśe,,
LIT1029Agaiba,ʿAǧāʾib al-āṯār fī t-tarāǧim wal-aḫbār,,al-Ǧabartī,,
LIT1030Agains,Against Diodore of Tarsus and Theodore of Mopsuestia,,Cyril,,
LIT1031Agains,Against Eunomius,,Basil the Great,,
LIT1032Agains,Against Eunomius,,Gregory of Nyssa,,
LIT1033Agains,Against Eustathius,,Gregory of Nyssa,,
LIT1034Agains,Against Marcellus,,Eusebios of Caesarea,,
LIT1035Agains,Against Nestorius,,Cyril of Alexandria,,
LIT1036Agains,Against Nestorius,,Theodotos of Ankyra,,
LIT1037Agains,Against the Origenists,,Theophilos of Alexandria,,
LIT1038Agains,Against those who speak about Two Natures (of Christ),,,,
LIT1039Agakit,Agäki!täketǝnät–Aǧinät,,Gäbrä Yäsus Ḫaylämaryam,,
LIT1040Agazi,Agʿazi,,Wäldä Giyorgis,,
LIT1041Ahbara,Aḫbār an-Nuba wal-Muqurra wa-ʿAlwa wal-Buǧa wan-Nīl,,Ibn Sulaym,,
LIT1042Ahbara,Aḫbār az-zaman,,al-Masʿūdī,,
LIT1043Ahsana,Aḥsan at-taqāsīm,,al-Muqaddasī,,
LIT1044Akeab,Akǝʿab,,Käbbädä Mikaʾel,,
LIT1045Akkwat,Akkwätetä qwǝrban zäqǝddus Eṗifanyos,,,,
LIT1046Aksima,Aksimaros,"Aksīmāris,Hexameron",,,
LIT1047Aksumi,Aksumite collection,,,,
LIT1048aladab,al-Ādāb al-ǧāmiʿa,,Ḥāmid b. Ṣiddīq al-Hararī,,
LIT1049alAhba,al-Aḥbāš bayna Maʾrib wa-Aksūm,,Mumtāz al-ʿArīf,,
LIT1050alAlaq,al-ʿAlāqāt as-siyāsīya,,Muḥammad Raǧab ʿAbdalḥalīm,,
LIT1051Alamwa,ʿAläm wärätäñña,,Mäkwännǝn Ǝndalkaččäw,,
LIT1052alAnwa,al-Anwār al-mutarākima,,Muḥammad ʿUṯmān al-Mīrġanī,,
LIT1053alAsra,al-Asrār as-Sāriya,,Bušrā,,
LIT1054Alewwa,Alǝwwällädǝmm,,Abbe Gubäñña,,
LIT1055alFils,"al-Fīl, sūra",,,,
LIT1056Algaba,Algäbam goǧǧoye,,Wasihun Bälay,,
LIT1057algawa,al-Ǧawāhir al-ḥisān fī tarīḫ al-Ḥubšān,,Aḥmad Hifnī al-Qanāʾī,,
LIT1058algaws,al-Ǧawšan al-kabīr,,,,
LIT1059Alhaba,Al-Ḥabaša,,Gǝrmaččäw Täklä Ḥawaryat,,
LIT1060alhaba,al-Ḥabaša,,Gǝrmaččäw Täklä Ḥawaryat,,
LIT1061alhaba,al-Ḥabaša al-Muslima,,Taysīr Zabiyān,,
LIT1062alhaba,al-Ḥabaša bayna l-iqṭāʿ wa-l-ʿaṣr al ḥadīṯ,,Rašīd al-Barrāwī,,
LIT1063alHady,al-Hady al-qudsī fi faḍāʾil āyat al-kursī,,Ibrāhīm al-Muḫtār Aḥmad ʿUmar,,
LIT1064alHigr,al-Hiǧra ilā l-Ḥabaša,,ʿAbdalfattāḥ ʿAlīyān,,
LIT1065Alifye,Alif yeen,,ʿAli ʿAbdiraḥmaan,,
LIT1066alIsab,al-Iṣāba fī tamyīz aṣ-ṣaḥāba,,Ibn Ḥaǧar al-ʿAsqalānī,,
LIT1067alIsla,al-Islām al-Ǧarīḥ fī l-Habaša,,Abū Aḥmad al-Iṯyūbī,,
LIT1068alIsla,al-Islām wa-l-Habaša ʿabr at-taʾriḫ,,Fatḥī Ġayṯ,,
LIT1069alKasf,al-Kašf ʿan muǧāwazat hāḏī l-umma al-alf,,Suyūṭī,,
LIT1070alKawa,al-Kawākib ad-durrīya fī madḥ ḫayr al-barrīya,Burda,al-Busīrī,,
LIT1071alKita,al-Kitāb al-manqūš fī manāqib al-ḥubūš,,an-Nawawī,,
LIT1072alKita,al-Kitāb al-muḫtār min ṭalabāt al-abrār,,,,
LIT1073Allahu,Allahummä solli ala muḥammädi imamul anbiya säydal mursälin,,Aḥmäd ʿUmär,,
LIT1074alLuma,al-Lumʿa al-bahīya fī mawlid ḫayr al-barrīya,,Bušrā āy Muḥammad,,
LIT1075Almage,Almagest,,Ptolemy,,
LIT1076alMagm,al-Maǧmaʿ al-mubārak,Chronicle; Universal History,Giyorgis Wäldä ʿAmid,,
LIT1077alMagm,al-Maǧmūʿa,,Budallāh,,
LIT1078alMagm,al-Maǧmūʿa al-mubāraka,,ʿAbdallah b. Yūsuf,,
LIT1079alMasa,al-Masāʾil al-fiqhīya allatī lā yuʿḏaru fīhā bil-ǧahl,,Bahrām b. ʿAbdallāh b. ʿAbdalʿazīz,,
LIT1080Almata,Almätam qärrähu,,Fǝqrä Maryam Ayyälä,,
LIT1081Almoth,Almothumm bǝyye alwašǝmm,,Mäkwännǝn Ǝndalkaččäw,,
LIT1082alMuda,al-Mudawwana al-kubrā,,Qayrawānī Saḥnūn,,
LIT1083alMuqa,al-Muqaddima,,Ibn Ḫaldūn,,
LIT1084alMuqa,al-Muqaddima al-ḥaḍramīya fī fiqh as-sādati aš-šafiʿīya,,ʿAbdallāh b. ʿAbdarrḥmān 򰄁Bā Faḍl al-Haḍramī,,
LIT1085alMuta,al-Mutawwakil,,as-Suyūṭī,,
LIT1086alMuwa,al-Muwaṭṭaʾ,Kitab al-muwaṭṭaʾ,Mālik b. Anas,,
LIT1087Alphab,Alphabet of Jesus ben Sira,,,,
LIT1088alQasi,al-Qaṣīda al-Ḥimyarīya,,Našwān,,
LIT1089alQura,al-Qurʾān,,,,
LIT1090alRisa,al-Risāla,,Ibn Abī Zayd,,
LIT1091alRisa,al-Risāla fī uṣūl al-fiqh,,aš-Šafʿī,,
LIT1092AlulaA,Alula Abbanäga,,Mammo Wǝddǝnäh,,
LIT1093alUsda,al-Usd al-ġāba,,Ibn al-Aṯīr,,
LIT1094Amanue,Amanuʾel därso mäls,,Bǝrhanu Zäryǝhun,,
LIT1095Ambo,Ambo,,Ṣäggaye Gäbrä Mädḫǝn,,
LIT1096AmeriG,Ameri Ginni,,Yasin Maḥammoda,,
LIT1097Ammest,Ammǝstu aʿǝmadä mǝśṭir,,,,
LIT1098Anapho,Anaphora ofBasil,,,,
LIT1099Anapho,Anaphora of Our Lady,,,,
LIT1100Anapho,Anaphora of Our Lord,,,,
LIT1101Anapho,"Anaphora of St. James,the Lord’s Brother",,,,
LIT1102Anapho,Anaphora of St. Mark,,,,
LIT1103Anapho,Anaphora of the 318,,,,
LIT1104Anapho,"Anaphora of the Apostles,",,,,
LIT1105Anapho,Anaphora Pilati,,,,
LIT1106Anibal,Anibal,,Käbbädä Mikaʾel,,
LIT1107Ankari,Ankäriṭos,Ancoratus,,,
LIT1108Anqasz,Anqäṣ zä-kidan,,,,
LIT1109Anqasa,Anqäṣä amin,,,,
LIT1110Anqasa,Anqäṣä halleta,Halletat,,,
LIT1111Anqasa,Anqäṣä nǝssǝḥa,,,,
LIT1112Anqasa,Anqäṣä qǝddase,,,,
LIT1113Anqasa,Anqäṣä bǝrhan,Wǝddase wägǝnay läʾǝmma adonay,,,
LIT1114Ruleso,Rules ofAnthony,,,,
LIT1115Antich,Antichrist,,Hyppolitus,,
LIT1116Antirr,Antirrhetikos,,Gregory of Nyssa,,
LIT1117Antoni,Antonini itinerarium,,,,
LIT1118Apocal,Apocalypse ofBaruch,2 Baruch; Syriac Baruch,,,
LIT1119Apocal,Apocalypse ofBaruch,3 Baruch; Greek Baruch,,,
LIT1120Apocal,Apocalypse ofBaruch,5 Baruch,,,
LIT1121Apocal,Apocalypse of Ezra,,,,
LIT1122Apocal,Apocalypse of Gorgoryos,,,,
LIT1123Apocal,Apocalypse of Mary,,,,
LIT1124Apocal,Apocalypse of Mary,Raʾǝyä Maryam; Vision of Mary,,,
LIT1125Apocal,Apocalypse of Paul,,,,
LIT1126Apocal,Apocalypse of Paul,,,,
LIT1127Apocal,Apocalypse of Peter,,,,
LIT1128Apocal,Apocalypse of Peter,,,,
LIT1129Apocal,Apocalypse of Pseudo-Methodios,,,,
LIT1130Apocal,Apocalypse of Pseudo-Methodius,,,,
LIT1131Apocal,Apocalypse of Thomas,,,,
LIT1132Apocal,Apocalypse of Thomas,,,,
LIT1133Apolog,Apologetical Explanation on the Hexameron,,Gregory of Nyssa,,
LIT1134Apolog,Apologia ad Constantium,Apology to Emperor Constantius,Athanasius,,
LIT1135Apolog,Apology of Aristides,,,,
LIT1136Apopht,Apophthegmata Patrum,,,,
LIT1137Apostl,Apostles and disciples,,,,
LIT1138Apostl,"Apostles,Acts of the",Gǝbrä ḥawaryat,,,
LIT1139Apostl,"Apostles,Anaphora of the",,,,
LIT1140Apostl,"Apostles,Epistle of the",,,,
LIT1141Aposto,Apostolic Canons,Canons of the Apostles,,,
LIT1142Aposto,Apostolic Constitutions,,,,
LIT1143Appari,Apparition of the Virgin Mary at Mǝṭmaq,,,,
LIT1144Araya,Arʾaya,,Gǝrmaččäw Täklä Ḥawaryat,,
LIT1145Arayam,Arʾaya mäṣḥafä Ermǝyas,,,,
LIT1146Argano,Arganonä Maryam,Arganonä Wǝddase,Giyorgis of Sägla,,
LIT1147Arkeza,ʿArke zämäskäräm,,,,
LIT1148Arremu,Arrǝmuññ,,Mäkwännǝn Ǝndalkaččäw,,
LIT1149Asamme,Asämmǝʿ läkǝmu sämayatä,,,,
LIT1150Asbaba,Asbāb an-nuzūl,,as-Suyūṭī,,
LIT1151Asceti,Asceticon,Zena zäʾǝmʾabäwinä qǝddusan,,,
LIT1152assahi,aṣ-Ṣaḥīḥ,,al-Buḫārī,,
LIT1153assayh,aš-Šayḫ ar-Rūḥānī,,,,
LIT1154asSira,as-Sīra an-nabawīya,,Ibn Hišām,,
LIT1155Assump,Assumption of Moses,,,,
LIT1156asSuna,as-Sunan,,Abī Dāwūd,,
LIT1157asSuna,as-Sunan,,an-Nasāʾī,,
LIT1158asSuna,as-Sunan,,at-Tirmiḏī,,
LIT1159asSuna,as-Sunan,,Ibn Māǧa,,
LIT1160AteMen,Aṭe Mǝnilǝkǝnna Ityoṗya,,Gäbrä Ḥǝywät Baykädañ,,
LIT1161Athana,Athanasian Creed,Afri­can Symbol or Profession of FaithQuicumque,,,
LIT1162Athana,"Athanasius,Anaphora of",,,,
LIT1163AtoBal,Ato Bälaynäh wäym yäqǝṭat maʿbäl,,Käbbädä Mikaʾel,,
LIT1164attaba,aṭ-Ṭabaqāt al-kubrā,,Ibn Saʿd,,
LIT1165atTafs,at-Tafsīr,,aṭ-Ṭabarī,,
LIT1166attira,aṭ-Ṭirāz al-islāmī,,,,
LIT1167attira,aṭ-Ṭirāz al-manqūš fī maḥāsin al-ḥubūš,,al-Buḫārī,,
LIT1168atTuhf,at-Tuḥfa aš-Šāhiya fī ʿilm al-hayʾa,,Aš-Šīrāzī,,
LIT1169AveMar,Ave Maria,,,,
LIT1170Awas,Awaš,,Ṣäggaye Gäbrä Mädḫǝn,,
LIT1171Awdana,ʿAwdä nägäśt,,,,
LIT1172AwsaCh,Awsa Chronicle,,,,
LIT1173Ayaand,Ayaan daran,,Cabdullaahi Sh.Xuseen “Hantiwadaag”,,
LIT1174Aydall,Aydälläm zäwätǝr mot,,Däbbäbä Säyfu,,
LIT1175Ayneff,Aynǝffälalä,,Mǝsgǝna Täḵästä,,
LIT1176Ayneff,Aynǝffälalä:Ertǝra 1941-51,,ʿAlämsäggäd Täsfay,,
LIT1177Azhara,Azhār al-ʿurūš,,Suyūṭī,,
LIT1178Accery,Aḉḉǝr yäʿaläm tarik,,Gäbrä Krǝstos Täklä Haymanot,,
LIT1179Badaia,Badāʾi ʿ az-zuhūr fī waqāʾiʿ ad-duhūr,,Ibn Iyas,,
LIT1180Baenta,Bäʾǝntä abunä Abrǝham,,Jacob of Serug,,
LIT1181Baenta,Bäʾǝntä ʿǝrina qǝddǝst śǝllase,,Gregory of Nazianzos,,
LIT1182Baenta,Bäʾǝntä haymanot,,Theophilos,,
LIT1183Baenta,Bäʾǝntä ḥǝmamat maḫyawit,,Jacob of Serug,,
LIT1184Baenta,Bäʾǝntä lǝdätu,,Gregory of Nazianzos,,
LIT1185Baenta,Bäʾǝntä lǝdätu,,John Chrysostomos,,
LIT1186Baenta,Bäʾǝntä lǝdätu wäṭǝmqätu,,Jacob of Serug,,
LIT1187Baenta,Bäʾǝntä Maryam mäḥarännä Krǝstos,,,,
LIT1188Baenta,Bäʾǝntä Maryam,,,,
LIT1189Baenta,Bäʾǝntä nǝssǝḥa…,,Gregory of Nyssa,,
LIT1190Baenta,Bäʾǝntä qǝddǝsat,,,,
LIT1191Baenta,Bäʾǝntä śǝllasekä,,,,
LIT1192Baenta,Bäʾǝntä ṭǝmqätu läʾǝgziʾǝnä,,Gregory of Nyssa,,
LIT1193Baenta,Bäʾǝntä wäld,,Gregory of Nazianzos,,
LIT1194Baenta,Bäʾǝntä wäld fǝqur,,Gregory of Nazianzos,,
LIT1195Bahrah,Baḥrä ḥassab,,,,
LIT1196Balaka,Baläkabbanna balädabba,,Mängǝśtu Lämma,,
LIT1197Balg,Bälg,,Ṣäggaye Gäbrä Mä󑸫dḫǝn,,
LIT1198Baqada,Bäqädami gäbrä Ǝgziʾabǝḥer,,,,
LIT1199Barala,Bärälam wäyǝwasǝf,Book of Barlaam and Josaphat,,,
LIT1200Barthe,"Barthelemy,Questions of",,,,
LIT1201Bartos,Bartos,,,,
LIT1202Bookof,Book ofBaruch,4 Baruch; Liber Baruch;The Rest of the Words of Baruch;Paralipomena of Jeremiah,,,
LIT1203Baseto,Bäsetočču amba,,Ṗawlos Ñoñño,,
LIT1204Basha,Baṣḫa,,,,
LIT1205Batarr,Bäṭärra ḉäräqa,,Mängǝśtu Lämma,,
LIT1206Batteg,Battǝggarraññ,,ʿAlämitu Dämäna,,
LIT1207Bazaar,Bazaar of Herakleides,,Nestorius,,
LIT1208Beelan,Bǝʿǝlä nägäśt,,,,
LIT1209Behelm,Bǝḥǝlmi zǝrräʾayo mägäddi krǝstǝyan,,,,
LIT1210Belwak,Bel wäkäysi,,,,
LIT1211Bella,Bella,,Procopius of Caesarea,,
LIT1212Belseg,Bǝlṣǝgǝnna bägǝbǝrǝnna,,Wäldä Giyorgis,,
LIT1213Benedi,Benedictus,Song of Zechariah,,,
LIT1214Beresh,Bereshid Rabbah,,,,
LIT1215Berhan,Bǝrhanä ḫǝllina,,Käbbädä Mikaʾel,,
LIT1216Berram,Bǝrr ambar säbbärälwo,,Bǝrhanu Zäryǝhun,,
LIT1217betale,betä lǝḥem zema,betälǝḥem zema,,,
LIT1218Bedeet,"Bǝḍǝʿǝt anti, hymn",,,,
LIT1219Bible,Bible,Holy Scripture,,,
LIT1220Bookof,Book of Samuel,,,,
LIT1221Bookof,Book of the Wise Philosophers,,,,
LIT1222Canons,Canons after the Ascension of Our Lord,,,,
LIT1223Canons,Canons of Cyril III ibn Laqlaq,,,,
LIT1224Canons,"Canons of Eusebios,Canon tables",,,,
LIT1225Canons,Canons of Hippolytus,,,,
LIT1226Canons,Canons of Nicaea,"Canons of Church Fathers, Canons of the Nicean Fathers",,,
LIT1227Canons,Canons of Shenute,,,,
LIT1228Canons,Canons of Simon the Canaanite,,,,
LIT1229Cantat,Cantate Domino,Bull of Union,,,
LIT1230Cantip,Canti popolari tigrai,,Conti Rossini,,
LIT1231Cantic,Cantici di Sion,,,,
LIT1232Cantic,Canticle of the Three Youths in the Furnace,,,,
LIT1233Cantic,Canticles,,,,
LIT1234Catena,Catena Commentary on the Gospel,,,,
LIT1235Cathed,Cathedral Homilies,,Severos,,
LIT1236Caveof,Cave of Treasures,Mʿarraṯ gazzē,,,
LIT1237Chroni,Chronicle,,Eusebius,,
LIT1238Chroni,Chronicle,,Jacob of Edessa,,
LIT1239Chroni,Chronicle,,John of Nikiu,,
LIT1240Chroni,Chronicle,,Michael the Syrian,,
LIT1241Chroni,Chronicleof Zuqnin,,Pseudo-Dionisius,,
LIT1242Chroni,Chronicle of the Kingdom of Gumma,,Cerulli,,
LIT1243Chroni,"Chronicles, Book of",,,,
LIT1244Chroni,Chronicon,,John of Wintertur,,
LIT1245Kitaba,Kitāb at-tawārīḫ,Chronicon Orientale,,,
LIT1246Chroni,Chronicon Paschale,,,,
LIT1247Chrono,Chronographia,Chronicle,John Malalas,,
LIT1248Chrono,Chronographia,,Photius,,
LIT1249Chrono,Chronographia,,Theophanes,,
LIT1250Confes,Confessio,,Cyprian of Antioch,,
LIT1251Confes,Confessio,,Ṣägga Zäʾab,,
LIT1252Confes,Confessio Claudii,Confessio Fidei,Gälawdewos,,
LIT1253Confes,Confession,,Aššännafi Käbbädä,,
LIT1254Dagemm,Dagǝm mǝṣʾatu läkrǝstos wätǝnśaʾe mǝwǝtan,,,,
LIT1255Dagmaw,Dagmawi Mǝnilǝk nǝguśä nägäśt zäʾityoṗya,,Afäwärq Gäbrä Iyäsus,,
LIT1256Dalail,Dalāʾil al-ḫayrāt,,Abbaa Ǧoobir,,
LIT1257Damyal,Däm yalläš ṭorǝnnät,,Abbe Gubäña,,
LIT1258Dandew,Dandew Ḉäbbude,,Mängǝśtu Lämma,,
LIT1259Daniel,"Daniel, Book of",,,,
LIT1260Darasi,Därasiw,,Bäʿalu Gǝrma,,
LIT1261Dardaa,Dardaaran,,Muḥammad ʿAbdallāh Ḥasan,,
LIT1262Dawite,Dawitǝnna Orya,,Zolveker / Mäkwännǝn Ǝndalkaččäw,,
LIT1263Delkam,Dǝl kämot bäḫwala,,Bǝrhanu Zäryǝhun,,
LIT1264Derreb,Dǝrrǝb ḉǝqqun,,Ayyalnäh Mulatu,,
LIT1265Dersan,Dǝrsan ... bäʾǝntä qǝddǝst fasika,,Gregory of Nazianzos,,
LIT1266Dersan,Dǝrsan ... bäʾǝntä śǝllase fǝkre,,Epiphanios of Salamis,,
LIT1267Dersan,Dǝrsan … bäʾǝntä haymanot,,Epiphanios of Salamis,,
LIT1268Dersan,Dǝrsan bäʾǝntä ʿǝbäyä kǝbra läʾǝgzǝʾǝtǝnä Maryam,Apocalypse of Mary; Dǝrsanä Maryam,,,
LIT1269Dersan,Dǝrsan bäʾǝntä sänbätat,,Rǝtuʿa Haymanot,,
LIT1270Dersan,Dǝrsan bäʾǝntä täzalǝfotä Ayhud wämärgämä Yǝhuda Asqorotawi,,Sǝmʿon,,
LIT1271Dersan,Dǝrsan bäʾǝntä ḍäʾatä näfs,,Theophilos,,
LIT1272Dersan,Dǝrsan dagǝm zäʿǝzra,,,,
LIT1273Dersan,Dǝrsan wägädl zäyared,,,,
LIT1274Dersan,Dǝrsan wätǝmhǝrt zäʾabäwinä ḥawaryat qǝddusan,,,,
LIT1275Dersan,Dǝrsanzäʾabba Yaʿǝqob ṗaṗṗas zähagärä Nǝṣǝbin zäkämä mäṣʾa nǝguśä Fars bämäwaʿǝlihu wǝst hagärä Nǝṣǝbin,,Aphrahat,,
LIT1276Dersan,Dǝrsan zäbǝḍuʿ wäqǝddus abba Basǝlyos ʿeṗisqoṗṗos zäqesarǝya bäʾǝntä ḥǝnḍa betä krǝstiyan,,Basil the Great,,
LIT1277Dersan,Dǝrsan zätewoflos baʾǝntä qǝddus Yoḥannǝs,,,,
LIT1278Dersan,Dǝrsan zäyǝnäggǝr zäkämä täräkbä zenaha läqǝddǝst Maryam,,Cyriacus of Jerusalem,,
LIT1279dersan,dǝrsan,,,,
LIT1280Dersan,Dǝrsanä ab wäwäld wämänfäs Qǝddus,,,,
LIT1281Dersan,Dǝrsanä Abrǝham wäsǝra bägǝbṣ,,Ephrem,,
LIT1282Dersan,Dǝrsanä Afnin,,,,
LIT1283Dersan,Dǝrsanä fäyatay,,John Chrysostom,,
LIT1284Dersan,Dǝrsanä Gäbrǝʾel,,,,
LIT1285Dersan,Dǝrsanä Gärima,Gädlä Abba Gärima,,,
LIT1286Dersan,Dǝrsanä Gärima,,,,
LIT1287Dersan,Dǝrsanä Giyorgis,,,,
LIT1288Dersan,Dǝrsanä ḥǝmamatihu wämotu,,,,
LIT1289Dersan,Dǝrsanä Iyäsus Moʾa,,,,
LIT1290Dersan,Dǝrsanä kidanä mǝḥrät,,,,
LIT1291Dersan,Dǝrsanä maḥyäwi,,,,
LIT1292Dersan,Dǝrsanä mälaʾǝkt,,,,
LIT1293Dersan,Dǝrsanä Maryam,Dǝrsan bäʾǝntä ǝgzǝʾǝtǝnä Maryam wäbäʾǝntä bet zäḫadärät mǝslä fǝqur wäldä bädäbrä Qusqam;Homily on Mount Qusqām,Theophilos of Alexandria,,
LIT1294Dersan,Dǝrsanä Mäṭaʿ,,,,
LIT1295Dersan,Dǝrsanä Mikaʾel,,,,
LIT1296Dersan,Dǝrsanä Raguʾel,,,,
LIT1297Dersan,Dǝrsanä Rufaʾel,,,,
LIT1298Dersan,Dǝrsanä sänbät,,,,
LIT1299Dersan,Dǝrsanä Sawiros,,Severus of Ašmunayn,,
LIT1300Dersan,Dǝrsanä śǝllase,Zena nägäromu läśǝllase,,,
LIT1301Dersan,Dǝrsanä Ṣǝyon,,,,
LIT1302Dersan,"Dǝrsanä Uraʾel,",,,,
LIT1303Dersan,Dǝrsanä Yared,,,,
LIT1304Dersan,Dǝrsanä Yoḥannǝs mäṭmǝq,,,,
LIT1305Dersan,Dǝrsanu ǝmdǝḫrä sǝddätu,,,,
LIT1306Debleq,Dǝblǝqlǝq,,Ṗawlos Ñoñño,,
LIT1307Dialog,Dialogue on the Soul and Resurrection,,Gregory of Nyssa,,
LIT1308Didach,Didache,,,,
LIT1309Didesq,Didǝsqǝlya,Didaskalia;Constitution of the Apostles,,,
LIT1310dikr,ḏikr,"digri,zikri",,,
